genericOrSpecificParsing,verbAssociatorUsed,verbAssociatorProximityBasedOrSyntacticBased,hypernymMutation,closedOrMaximalPattern,minSupport,median,IQR
true,false,true,false,false,1,0.98,0.358
false,true,false,false,true,1,0.971,0.5
false,true,false,false,false,1,0.941,0.625
false,true,false,true,true,1,0.941,0.485
false,false,true,false,true,1,0.941,0.706
false,true,true,false,true,1,0.941,0.583
false,false,true,false,false,1,0.931,0.764
false,true,false,true,false,1,0.926,0.617
false,true,true,true,true,1,0.926,0.523
false,true,true,true,false,1,0.926,0.735
true,false,true,false,true,1,0.922,0.417
false,false,true,true,false,1,0.902,0.778
false,false,true,true,true,1,0.902,0.68
false,true,true,false,false,1,0.897,0.779
true,false,true,true,true,1,0.863,0.347
true,false,true,true,false,1,0.863,0.38
true,true,false,false,false,1,0.438,0.673
true,true,false,false,true,1,0.417,0.735
true,true,false,true,true,1,0.417,0.721
true,true,false,true,false,1,0.4,0.647
true,true,true,false,true,1,0.375,0.662
true,true,true,false,false,1,0.375,0.662
true,true,true,true,false,1,0.375,0.5
true,true,true,true,true,1,0.375,0.647
