genericOrSpecificParsing,verbAssociatorUsed,verbAssociatorProximityBasedOrSyntacticBased,hypernymMutation,closedOrMaximalPattern,minSupport,secondElapsed
true,false,true,false,true,1,967.17
true,false,true,true,true,1,963.46
true,true,true,false,true,1,2365.76
true,true,false,true,false,1,2342.37
false,true,false,false,false,1,64.82
true,false,true,true,false,1,1026.18
false,true,false,true,false,1,63.82
true,true,true,false,false,1,2451.47
false,true,true,false,false,1,177.03
false,false,true,false,false,1,999.19
true,false,true,false,false,1,1055.83
false,true,false,true,true,1,62.90
false,true,true,true,true,1,65.15
true,true,true,true,false,1,2335.93
true,true,false,false,false,1,2511.22
true,true,false,false,true,1,2452.05
true,true,true,true,true,1,2139.35
false,true,false,false,true,1,66.76
false,false,true,true,false,1,892.87
false,false,true,false,true,1,888.44
true,true,false,true,true,1,2217.24
false,true,true,true,false,1,68.45
false,false,true,true,true,1,720.14
false,true,true,false,true,1,67.35
