genericOrSpecificParsing,verbAssociatorUsed,verbAssociatorProximityBasedOrSyntacticBased,hypernymMutation,closedOrMaximalPattern,minSupport,activityName,pattern,pfIaf,annotation
true,false,true,false,true,1,answer_the_phone,telephone,1.1972252216303207,0.9803921568627452
true,false,true,false,true,1,answer_the_phone,"telephone,telephone",1.1391779381573355,0.9803921568627452
true,false,true,false,true,1,answer_the_phone,"telephone,telephone,telephone",1.1319220277232123,0.9803921568627452
true,false,true,false,true,1,answer_the_phone,"telephone,telephone,telephone,telephone",1.1028983859867196,0.6
true,false,true,false,true,1,answer_the_phone,"telephone,telephone,telephone,telephone,telephone",1.0738747442502272,0.5666666666666667
true,false,true,false,true,1,answer_the_phone,"telephone,telephone,telephone,telephone,telephone,telephone",1.023083371211365,0.5
true,false,true,false,true,1,answer_the_phone,"telephone,telephone,telephone,telephone,telephone,telephone,telephone",0.9722919981725029,0.4666666666666666
true,false,true,false,true,1,answer_the_phone,"telephone,telephone,telephone,telephone,telephone,telephone,telephone,telephone",0.9287565355677639,0.43333333333333335
true,false,true,false,true,1,answer_the_phone,"telephone,contact",0.8924769833971482,0.16666666666666666
true,false,true,false,true,1,answer_the_phone,dwelling,0.250395663165882,0.6666666666666666
true,false,true,false,true,1,answer_the_phone,contact,0.45018699484057934,0
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,turkey,1.1466431537001354,0.9411764705882352
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"turkey,meatball",1.122503297832764,0.9803921568627452
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,meatball,1.2311326492359347,0.9803921568627452
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"meatball,turkey",1.122503297832764,0.3333333333333333
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"meatball,meatball",1.1707830095675067,0.9803921568627452
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"meatball,land",1.158713081633821,0.16666666666666666
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"meatball,land,egg",1.0742235860980214,0.2222222222222222
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"meatball,land,garlic",1.0862935140317072,0.2222222222222222
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"meatball,egg",1.1345732257664496,0.9803921568627452
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"meatball,garlic",1.122503297832764,0.9803921568627452
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"meatball,cheese",1.0862935140317072,0.9803921568627452
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"meatball,sauce",1.1104333698990783,0.9803921568627452
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"meatball,cup",1.0742235860980214,0.6
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"meatball,salt",1.122503297832764,0.9803921568627452
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,land,1.1707830095675067,0
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"land,meatball",1.0742235860980214,0.16666666666666666
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"land,egg",1.0862935140317072,0.16666666666666666
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"land,garlic",1.0983634419653927,0.16666666666666666
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,egg,1.1466431537001354,0.9215686274509803
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,garlic,1.1345732257664496,0.9215686274509803
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,pepper,1.0742235860980214,0.9215686274509803
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,sauce,0.8533130132486271,0.9411764705882352
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,"sauce,sauce",1.0742235860980214,0.9411764705882352
