genericOrSpecificParsing,verbAssociatorUsed,verbAssociatorProximityBasedOrSyntacticBased,hypernymMutation,closedOrMaximalPattern,activityName,pattern,pfIaf,annotation
false,true,false,true,true,answer_the_phone,answer||telephone,0.26898696537927985,4
false,true,false,true,true,answer_the_phone,keep||pen,0.26898696537927985,4
false,true,false,true,true,bake_parmesan_turkey_meatballs,"put||cheese,put||herb,put||milk,put||tomato,put||bowl,add||egg,add||garlic,add||onion,stir||mixture,integrate||mix,integrate||turkey,arrange||meatball,put||sheet,put||oven,serve||turkey,serve||pasta,serve||bread",0.627636252551653,4
false,true,false,true,true,bake_parmesan_turkey_meatballs,"put||cheese,put||bowl,stir||mixture,serve||turkey,serve||pasta",1.255272505103306,4
false,true,false,true,true,bake_parmesan_turkey_meatballs,"put||cheese,put||egg,put||bowl,stir||mixture,put||pasta,put||sauce,put||cooker,serve||cooker,serve||turkey,serve||rice,serve||pasta",0.627636252551653,4
false,true,false,true,true,choosing_outfit,pick||coloring_material,0.3586492871723731,4
false,true,false,true,true,clean,swab||cotton,0.1494372029884888,4
false,true,false,true,true,cook_pasta,fill||pot,0.3138181262758265,4
false,true,false,true,true,cook_pasta,"fill||pot,fill||water,stir||dish",0.23536359470686988,4
false,true,false,true,true,cook_pasta,"fill||pot,bring||water,use||sauce",0.23536359470686988,4
false,true,false,true,true,cook_pasta,bring||water,0.3138181262758265,4
false,true,false,true,true,cook_pasta,add||salt,0.23856062735983122,4
false,true,false,true,true,cook_pasta,"add||salt,add||water",0.23536359470686988,4
false,true,false,true,true,cook_pasta,"add||salt,add||pepper",0.23536359470686988,4
false,true,false,true,true,cook_pasta,add||dish,0.3138181262758265,4
false,true,false,true,true,cook_pasta,"add||dish,add||water",0.23536359470686988,4
false,true,false,true,true,cook_pasta,add||water,0.47072718941373975,4
false,true,false,true,true,cook_pasta,"add||water,add||pasta",0.23536359470686988,4
false,true,false,true,true,cook_pasta,put||timer,0.23536359470686988,4
false,true,false,true,true,cook_pasta,stir||pasta,0.23536359470686988,4
false,true,false,true,true,cook_pasta,put||dish,0.23536359470686988,4
false,true,false,true,true,cook_pasta,serve||sauce,0.23536359470686988,4
false,true,false,true,true,cook_pasta,stir||dish,0.3138181262758265,4
false,true,false,true,true,cook_pasta,add||sauce,0.47072718941373975,4
false,true,false,true,true,do_homework,take||fault,0.21967268839307855,4
false,true,false,true,true,make_coffee,add||sweetening,0.20277653325585654,4
false,true,false,true,true,make_coffee,add||beverage,0.298200784199789,4
false,true,false,true,true,make_coffee,add||milk,0.18829087576549589,4
