windowSizeObjectUse,thresholdMinDistanceRFID,thresholdMaxDistanceRFID,windowSizeHAR,cohenKappa
9000,20,200,6000,0.17986513586220784
9000,20,225,6000,0.17986513586220784
9000,20,250,6000,0.17986513586220784
9000,20,200,6500,0.17941049709335852
9000,20,225,6500,0.17941049709335852
9000,20,250,6500,0.17941049709335852
9000,20,200,7000,0.17910786177567706
9000,20,225,7000,0.17910786177567706
9000,20,250,7000,0.17910786177567706
9000,20,200,7500,0.17865459293782326
9000,20,225,7500,0.17865459293782326
9000,20,250,7500,0.17865459293782326
9000,20,200,8000,0.1783528688433045
9000,20,225,8000,0.1783528688433045
9000,20,250,8000,0.1783528688433045
8500,20,175,6000,0.17746164725313102
8500,20,200,6000,0.17746164725313102
8500,20,225,6000,0.17746164725313102
8500,20,250,6000,0.17746164725313102
9000,20,200,8500,0.17741499230369498
9000,20,225,8500,0.17741499230369498
9000,20,250,8500,0.17741499230369498
9000,20,175,6000,0.1773409107172735
8500,20,175,6500,0.17700934233536794
8500,20,200,6500,0.17700934233536794
8500,20,225,6500,0.17700934233536794
8500,20,250,6500,0.17700934233536794
9000,20,175,6500,0.17688930524951516
8500,20,175,7000,0.1767082663871946
8500,20,200,7000,0.1767082663871946
8500,20,225,7000,0.1767082663871946
8500,20,250,7000,0.1767082663871946
9000,20,175,7000,0.17658869177867192
8500,20,175,7500,0.17640755818222048
8500,20,200,7500,0.17640755818222048
8500,20,225,7500,0.17640755818222048
8500,20,250,7500,0.17640755818222048
9000,20,175,7500,0.17613845517172003
8000,20,175,6000,0.17610410280915514
8000,20,200,6000,0.17610410280915514
8000,20,225,6000,0.17610410280915514
8000,20,250,6000,0.17610410280915514
8500,20,175,8000,0.17595718392075924
8500,20,200,8000,0.17595718392075924
8500,20,225,8000,0.17595718392075924
8500,20,250,8000,0.17595718392075924
9000,20,175,8000,0.17583875219995998
8000,20,175,6500,0.17565292369131624
8000,20,200,6500,0.17565292369131624
8000,20,225,6500,0.17565292369131624
8000,20,250,6500,0.17565292369131624
8000,20,175,7000,0.17535260006549036
8000,20,200,7000,0.17535260006549036
8000,20,225,7000,0.17535260006549036
8000,20,250,7000,0.17535260006549036
8500,20,175,8500,0.17501391867139318
8500,20,200,8500,0.17501391867139318
8500,20,225,8500,0.17501391867139318
8500,20,250,8500,0.17501391867139318
8000,20,175,7500,0.17490280660099505
8000,20,200,7500,0.17490280660099505
8000,20,225,7500,0.17490280660099505
8000,20,250,7500,0.17490280660099505
9000,20,175,8500,0.17490001534810387
9000,25,200,6000,0.17489070438103602
9000,25,225,6000,0.17489070438103602
9000,25,250,6000,0.17489070438103602
8000,20,175,8000,0.17460340461604787
8000,20,200,8000,0.17460340461604787
8000,20,225,8000,0.17460340461604787
8000,20,250,8000,0.17460340461604787
9000,25,200,6500,0.17443694716759858
9000,25,225,6500,0.17443694716759858
9000,25,250,6500,0.17443694716759858
9000,25,200,7000,0.17413490665076686
9000,25,225,7000,0.17413490665076686
9000,25,250,7000,0.17413490665076686
8500,25,175,6000,0.17399309165253019
8500,25,200,6000,0.17399309165253019
8500,25,225,6000,0.17399309165253019
8500,25,250,6000,0.17399309165253019
9000,25,200,7500,0.1738332367700058
9000,25,225,7500,0.1738332367700058
9000,25,250,7500,0.1738332367700058
9000,20,200,9000,0.17378871480929559
9000,20,225,9000,0.17378871480929559
9000,20,250,9000,0.17378871480929559
8000,20,175,8500,0.17365737648841034
8000,20,200,8500,0.17365737648841034
8000,20,225,8500,0.17365737648841034
8000,20,250,8500,0.17365737648841034
8500,25,175,6500,0.173541377151362
8500,25,200,6500,0.173541377151362
8500,25,225,6500,0.173541377151362
8500,25,250,6500,0.173541377151362
9000,25,200,8000,0.1733814254005231
9000,25,225,8000,0.1733814254005231
9000,25,250,8000,0.1733814254005231
7500,20,150,6000,0.17326328010000813
7500,20,175,6000,0.17326328010000813
7500,20,200,6000,0.17326328010000813
7500,20,225,6000,0.17326328010000813
7500,20,250,6000,0.17326328010000813
8500,25,175,7000,0.17324070006534045
8500,25,200,7000,0.17324070006534045
8500,25,225,7000,0.17324070006534045
8500,25,250,7000,0.17324070006534045
7500,20,150,6500,0.17314045197002007
7500,20,175,6500,0.17314045197002007
7500,20,200,6500,0.17314045197002007
7500,20,225,6500,0.17314045197002007
7500,20,250,6500,0.17314045197002007
7500,20,150,7000,0.17284070615440636
7500,20,175,7000,0.17284070615440636
7500,20,200,7000,0.17284070615440636
7500,20,225,7000,0.17284070615440636
7500,20,250,7000,0.17284070615440636
